,HolderAddress,Balance,PendingBalanceUpdate
407,0xf5094056cb032795ec7bb3dde13b8c989317dcdc,387396872.697807,No
38,0x1504c476ebf8bc53ceac9128d992cfd9580a7b4a,380561008.28638,No
256,0x99eee4226067852d5e446c66b4fc2052933d9115,291368000.0,No
86,0x2fa85587de409ebc62b8f6d2b4e2f23d5b425390,2500000000.0,No
214,0x83521d8b5fb3bc81e09b7271d4b58d7d57ecf3b6,25130751.4191247,No
344,0xcabc810d30eab11344e5f66cebe679c811e8e593,78102459.1299325,No
93,0x3454f5cb19c32e375992b72926be87949f117255,10320000.0,No
32,0x1171114ded1ce0f57637c2cc31acf6fec8e948ae,14108897337.0232,No
286,0xa7f4c3ea3fc97c9b11adb15367fc4e333401b076,471595620.19092,No
297,0xad798c1b8cdd215f233cfa19dc15176c658ee2e2,294933320.927744,No
55,0x203c99601f004fcde22d2526bcdc66a1a07fb467,328118403.002088,No
282,0xa6c39fd51f2ee74b1d131a9ae799e861adf2d225,164450290.948661,No
85,0x2f5c839627849e20f7e67313e1598c7fd3392486,4568009037.18581,No
232,0x8d8690c80d9903c5b27324186cc10b034b2afbab,5447437800.86,No
313,0xba5debf38d8b334a4565481113d20efdbf3f046e,26938154649.8755,No
142,0x5796bf55bf389ce6886ab606483613b3f4aedd05,95245141.1300416,No
306,0xb620116ecfad56c207f23fec5a5e52a79162602d,6047327.56731628,No
215,0x8382d08965b2ef3e274172042bcf6a35fb0bab6c,64445183.4501884,No
184,0x6ef613d5dd428edbddec5205576ea1f6fcdcc634,4519259659.01266,No
118,0x47b83d8b04d7ecedad71c403935a51886d625f6d,148551702.130386,No
246,0x94845496a5c8fb77c60b7e2aa1edd07f17156930,3216389961.77712,Yes
100,0x38ee72bcc05641d98d5a2c9322050cfd6d186c73,518411196.417422,No
94,0x3486f6076d1f547a4ce6437d6ae43e886efb2ffb,2466528214.59645,No
406,0xf4468f64e81b92cc036bffeb6c5b5706285ad28a,201712220.888447,No
301,0xb07529efd8d4ba7c5bdd306d692741128630a250,332820000.0,No
370,0xde0ed312c2a3f9a105a00a2c65d4487be7249e18,1224603404.20913,No
114,0x419d632aea6ac23b8c892ce5e85fbb1ea1fca006,76366194.0,No
211,0x8173580379ae4417818f9d2c47fd297b6331e965,59542789.3886636,No
47,0x1a2f08a75e7d50d03537ccef53185e24e2042566,287360509.247471,No
349,0xcf969aba4ae7b6376ab19d74e777f5b4fe4b6c28,500000000.0,No
380,0xe2f0f4af21ea435db9d08a98dc294069fc187ca9,4011841783.61082,No
227,0x8baf2ec096b34dfe17262ffacdc92206a5719066,3036753666.54365,No
173,0x6aaa1f77147edf28d2049f224462c22df6088c6b,106031114.989057,No
353,0xd2d79a59802579c32266b254400c8ec00a01ba31,1419991723.9204,No
308,0xb69f1f2be971ffa12eed0e99029aa866272fd17a,1126219986.89544,No
278,0xa50538beb8a73b0a27058d46aaac14f3519134dc,691237174.200692,No
404,0xf0e22faed1442d424aa8fef4816f54282e4f5eb8,1372539646.65588,No
272,0xa168b8d6e7c10800373055dab3241c6dd6945b68,6000000000.0,No
192,0x7285e62913c95235ac8e5886cd06e7a8628af4bb,15590017517.5803,No
379,0xe1a3804f297294f94c0cfc72b35d334ed67b9072,3395341918.1178,No
300,0xaf61b0f9756163709a129f60c2192876365d13d5,20382000.0,No
160,0x63ff978734146a4aa2330c36365280094cbe9079,376907900.86,No
414,0xf7aa7676dc5913ca49ea155558ab59a52a6241a6,535196357.615005,No
176,0x6c0e7a54862a3a3261d5802a817715091464f475,828747020.79659,No
141,0x571c346a3c680888524829339e0b52e25a072365,860000000.0,No
9,0x04cb9984462040f98fae2337363f613638056e43,10000000000.0,No
385,0xe4fa72f92b426f79c3bee66710292390e6ef6d3b,1294300000.0,No
68,0x287e01e6008b3e9ec8b0f70bfef9d1a80e7f2237,9513350000.72441,No
13,0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d,6098672218.97247,No
382,0xe39b6950ff31f6743c8caf6c13d1215a0651f9b1,320759102.85914,No
182,0x6e18d391bda78602ef0c46fb3dbcda4e7c779343,353156296.885419,No
293,0xaaa419d73fcd6d22f9a6cdd3a2242a9f88f2a854,9110712372.22463,No
189,0x71767f6b395cf79bd9d8fbdc6cc2eb7210d8f835,1437160337.65178,No
104,0x3b39490a32fdaa44a934022c94aa4069068b24ad,3261765000.086,No
187,0x70c50dad9bc99f09176a6d18ad072748007da42c,1138393275.24156,No
170,0x69ce31018c82ca3d2d9e4c5a6d83161b4320f9e9,1299433089.52387,No
329,0xc3ddfab7f231ba271156056943b2f084cb1a6ad2,44246800.4975511,No
125,0x4b7f6cfc79416397bd8be8c0ab1168188a42cb3c,16582564908.34,No
109,0x3e2ab324c7c51b48593b51b61210682c1295c9c2,5083851454.20505,No
287,0xa820326903d2be4ee4fc088b512230967b55c8cc,1572477693.92434,No
150,0x5f4f3b95ff0dfdaa9329126f99c3901e19a48bfd,836325178.070467,No
336,0xc5c08107950750c24861758671846959205b495b,18066434848.2471,No
116,0x46e5972cb3fe282ac7e7300e5a7206e9b15c6360,249228000.0,No
207,0x7d9f6dcc93d5f11d153b053c372393615d3c710b,4661911534.08008,No
221,0x85e792d9f0d750717df5fc901b745f6c3092dcb8,6000000.0,No
209,0x80efbe325e877ba500d2a2f4b7660c65cc84735c,592903755.393284,No
29,0x10e576c461c939a1bf33bab19e03ce9eeb71e3ab,54307988.7270853,No
255,0x994bcd6294d0075714edda10d28e3ebafae8b6b0,1000012553.11834,No
135,0x540fff588cc5b16bd51241d45e6652efb6b2599c,3310468733.79184,No
161,0x646d9666638f89596854a0842954bdc0dfe15fe5,3069152767.73109,No
98,0x361c6056393a224bd9bad706a050514bb3db6ccf,2658222418.18337,No
107,0x3da0bd01a1bb831ac46722eca470ef1872b077b7,11000000000.0,No
252,0x989047a72c106eb6b895ffb1c205f085614f1ece,411327838.629832,No
310,0xb7f3f717bb0eb6f903487ab484d4e6ae27d925aa,5139863559.28295,No
101,0x39019bb09e67a3714ba2128c7088ec2b410d9d92,24119907591.7565,No
251,0x976de54f03fc0aea96fe66054aa95692a691ebee,1584940439.62043,No
333,0xc4b2286be2635a4ce1c986edab361f7391837cb7,1607582509.91395,No
18,0x0d3934a5d969dbe86e1cb26186fd9ce7d031db13,52050173.633049,No
123,0x4ae65e10e306cdfe8351078ca9117a3cf067feb3,261705424.846303,No
274,0xa2b8608af1eae40ef19c487f3a770f66ddc7a10b,4593037766.96235,No
318,0xbc9dd1164183b35ac293c087351d11dab8b88eb4,1118594691.95133,No
